strategy,country,index,track,CAGR,MaxDD,Calmar,Sharpe,n_trades,qualified
14-Day RSI Oscillator,Australia,All Ordinaries,Net-Full-Service,-0.007667,-0.534942,-0.014332,0.046463,42,True
14-Day RSI Oscillator,Australia,All Ordinaries,Net-Tax,0.021592,-0.416243,0.051874,0.225785,42,True
14-Day RSI Oscillator,Brazil,Ibovespa,Buy-and-Hold,0.051922,-0.476713,0.108916,0.337729,1,True
14-Day RSI Oscillator,Brazil,Ibovespa,Gross,0.027875,-0.407129,0.068468,0.244247,40,True
14-Day RSI Oscillator,Brazil,Ibovespa,Net-Discount,0.02657,-0.412503,0.064411,0.236668,40,True
14-Day RSI Oscillator,Brazil,Ibovespa,Net-Full-Service,0.003728,-0.508394,0.007333,0.133231,40,True
14-Day RSI Oscillator,Brazil,Ibovespa,Net-Tax,0.027875,-0.407129,0.068468,0.244247,40,True
14-Day RSI Oscillator,Canada,S&P/TSX Composite,Buy-and-Hold,0.052466,-0.374265,0.140183,0.422731,1,True
14-Day RSI Oscillator,Canada,S&P/TSX Composite,Gross,0.040648,-0.352197,0.115413,0.402494,40,True
14-Day RSI Oscillator,Canada,S&P/TSX Composite,Net-Discount,0.031822,-0.396255,0.080308,0.312984,40,True
14-Day RSI Oscillator,Canada,S&P/TSX Composite,Net-Full-Service,0.011959,-0.523086,0.022863,0.155263,40,True
14-Day RSI Oscillator,Canada,S&P/TSX Composite,Net-Tax,0.031993,-0.395071,0.08098,0.314669,40,True
14-Day RSI Oscillator,China,Shanghai Composite,Buy-and-Hold,0.022187,-0.523355,0.042394,0.214718,1,True
14-Day RSI Oscillator,China,Shanghai Composite,Gross,0.010913,-0.387113,0.02819,0.150973,45,True
14-Day RSI Oscillator,China,Shanghai Composite,Net-Discount,0.004997,-0.416037,0.012011,0.108925,45,True
14-Day RSI Oscillator,China,Shanghai Composite,Net-Full-Service,0.004352,-0.417239,0.010431,0.104456,45,True
